lenRel	lenRec	liberty
40.1	46.2	0.42
54.1	55.8	0.22
53.6	54.2	0.09
48.4	51.2	0.27
50.5	55.4	0.49
51.7	55.9	0.36
55.2	60	0.35
42	51.4	0.49
57.4	57.6	0.2
48.1	61.5	0.64
48.6	54.6	0.37
54	63.4	0.52
53.4	58.9	0.62
50.2	52.5	0.24
53.4	65.4	0.66
49.9	55.1	0.14
47.9	51.7	0.28
60.8	64.4	0.32
52.3	55.6	0.34
50.4	58.6	0.61
52.7	60.8	0.39
53.7	56.3	0.45
47.9	51.9	0.36
51.1	53.2	0.33
60.5	66.5	0.52
45.1	56.3	0.65
47.5	50.5	0.11
55.8	61.9	0.49
51.6	58.2	0.44
46.1	51.5	0.3
40.8	55	0.59
53	60.6	0.3
49.2	57.1	0.32
51.3	61.6	0.56
48.7	63.4	0.87
40.5	46.7	0.42
52.5	54.8	0.3
58.1	64.8	0.2
39.5	46.6	0.31
42.9	50	0.23
42.8	48.6	0.32
51.8	56.8	0.45
48.6	67.8	1.38
47.4	56.6	0.4
45.2	54.7	0.65
50.8	54.6	0.12
54.2	61.8	0.53
60.2	62.4	0.19
58.2	65	0.58
45.3	52.5	0.45
47.8	54.7	0.3
54.3	66	0.71
49	53	0.26
47.9	53.6	0.28
42.9	49.2	0.22
49.9	53.3	0.26
44.8	55.8	0.59
46.2	51	0.46
45.3	56.1	0.61
46.3	54.5	0.3
50.7	56	0.44
52.4	59.5	0.42
47.1	61.1	0.9
56.8	60.1	0.39
54.9	59.2	0.54
54.9	63.6	0.59
60.4	63.7	0.36
44.2	49.2	0.32
58.5	65.4	0.58
55.3	60.3	0.22
53.6	66.4	0.99
51.7	57.3	0.3
49.2	60.8	0.84
49	59.9	0.78
39.2	48.9	0.38
52.9	60	0.49
59.1	60.8	0.22
59.6	63.1	0.43
52	59.6	0.62
52.1	55.3	0.39
52.3	54.4	0.29
53.3	58.7	0.27
59.5	61.9	0.36
53.4	61.6	0.63
55.4	62.1	0.29
52.1	59.5	0.35
53.4	56.2	0.19
55.4	60.3	0.47
64.7	73.7	0.71
51.2	58.8	0.78
42.8	57.8	0.55
51.9	52.9	0.14
46	55.7	0.47
49.6	62.8	0.46
52.1	57.4	0.31
56	61.5	0.4
41.5	50.1	0.24
43.1	55	0.52
58	59.9	0.31
52.2	54.7	0.17
45.7	52.6	0.31
45.5	55	0.73
47.5	53.1	0.31
53.5	60.1	0.53
47.1	56.6	0.59
54.5	63	0.37
51.6	55.5	0.31
52.5	54.9	0.28
53.8	57.1	0.53
47.7	50.5	0.22
49.2	51.8	0.42
51.9	58.5	0.32
41.4	47.8	0.12
57.4	57.6	0.18
47.8	54.8	0.58
54.5	57.3	0.33
50.8	55.5	0.55
41.1	55.2	0.95
51.7	63.8	0.77
47.1	54.3	0.52
54.8	62.4	0.44
46	50.1	0.33
39	51.4	0.81
43.6	52.5	0.5
47.9	49.1	0.2
48.1	49.7	0.34
49.1	51	0.14
46.8	54	0.33
47.4	49.6	0.1
54	58	0.71
45.7	51.7	0.27
56.1	59.9	0.3
51	59.2	0.34
50.3	56.8	0.5
39.3	51.5	0.52
48.9	56.3	0.49
45.1	51	0.28
54.6	58	0.3
57.4	63.1	0.42
42	50.5	0.24
44.3	53.6	0.36
48.3	54	0.21
42.4	51.1	0.37
41.1	48.6	0.39
52.4	62	0.34
50.6	54.7	0.34
56.4	63.4	0.89
44.8	53.3	0.54
45.4	56.9	0.64
44.6	45.6	0.23
45.8	50.7	0.4
54.4	61.2	0.66
46.6	54.9	0.36
44.3	49.6	0.13
40.8	48.6	0.44
42.3	45.1	0.14
47.5	53.1	0.25
56.4	68.8	0.71
45.3	56.1	0.5
45.8	54.8	0.63
44	51.9	0.43
48.7	56.5	0.35
47.2	51.4	0.23
50.8	61	0.82
50.4	53.9	0.38
54.3	55.3	0.26
53.9	62.6	0.57
57.8	63	0.63
52.7	59.9	0.95
52.5	54.9	0.3
53.9	60.3	0.3
49	54.6	0.3
46.8	49.6	0.31
44.2	47.7	0.32
45.5	63.1	0.76
46.5	52.9	0.26
51.6	57.7	0.3
50.3	57.1	0.51
45.1	56.6	0.65
44.9	50.9	0.25
59.4	60.4	0.29
48.2	55.1	0.48
42.1	53	0.61
48.8	53	0.32
45.4	54.9	0.18
54.2	61.3	0.86
49.9	63.7	0.75
54.5	54.8	0.26
43.5	51.2	0.36
52.5	57.1	0.15
54.4	56.6	0.49
54.2	62.3	0.82
57.2	57.7	0.16
51.8	55.6	0.25
47.8	53.9	0.27
43.9	48.3	0.26
48.3	49.1	0.13
45.3	50.4	0.47
51.6	55	0.17
39.8	47.6	0.36
39	47.8	0.49
47.4	52.4	0.33
53.5	64.6	0.57
51.5	53.2	0.36
49.6	50.9	0.27
54.9	63.5	0.51
46	53.9	0.3
49.6	66.4	0.89
50.4	53.5	0.36
56.7	62.8	0.56
56.7	59.9	0.41
54.1	59.6	0.19
53.5	56.8	0.3
60.2	66.6	0.41
54.6	61.3	0.6
47.7	52.7	0.27
43.9	50.6	0.25
47.3	50.6	0.18
53.9	56.2	0.38
48.1	53.9	0.47
63.1	63.3	0.22
55.5	61.5	0.48
54.8	58.7	0.29
50.2	65.4	1.09
59.6	68.4	0.69
48.4	57.9	0.5
54.3	60.2	0.37
57	64.4	0.42
50.8	56.6	0.26
32.7	40.3	0.5
50.3	59.1	0.77
51.6	61.1	0.63
44.6	49	0.24
41.2	45.1	0.16
54.5	60.6	0.35
34	43.6	0.46
48.3	57.7	0.72
45.4	51.5	0.44
47.2	58.4	0.41
48.2	58	0.67
47.9	55.8	0.36
49.9	54.9	0.31
48.7	52.7	0.21
50.3	56.4	0.28
54.4	60.4	0.31
52.7	66.7	1.19
57	71.8	1.25
49	53.7	0.34
52	56.1	0.14
46	54.6	0.48
47.6	48.6	0.21
61.3	71.4	1.15
44.3	48.4	0.24
55.4	63.3	0.39
48.7	76.5	2.47
46.4	50.2	0.21
43.2	51.5	0.43
45.4	46.1	0.21
38.5	45.9	0.44
47.1	49.9	0.24
55.9	59.2	0.38
44.8	54	0.32
56.5	61	0.2
51.5	55.7	0.37
44.3	51.8	0.6
50.8	59.2	0.82
48.1	50.5	0.19
45.9	53.6	0.32
49.4	58.1	0.66
48.2	53.7	0.21
54	54.5	0.1
46.6	57.4	0.23
55.8	57.5	0.23
51.2	56.3	0.38
47.2	52.7	0.3
51.8	57.8	0.41
54.5	56.5	0.3
48.3	54.9	0.44
46.4	53.1	0.31
55.1	64.6	0.67
57.8	61.2	0.25
48.1	57.4	0.43
47.9	52.2	0.24
56.3	62.6	0.41
40.7	51.4	0.36
48.8	48.9	0.16
54.4	58.3	0.34
46	56.3	0.66
54.5	59.9	0.52
42.4	51	0.4
51.4	57.5	0.66
56.6	60.3	0.38
55.4	63.8	0.29
52.1	57.8	0.84
55.5	56.9	0.25
41.4	46.5	0.43
51.5	58.6	0.7
45.3	53.2	0.5
51.9	54	0.32
46.6	52.9	0.3
50	55.5	0.44
49.2	53.7	0.48
53.1	56.9	0.37
49	58.9	0.71
56.8	62.3	0.36
41.4	41.5	0.26
51.5	56.7	0.48
57.4	61.3	0.12
44.2	49.1	0.45
43.7	55.8	0.47
45.7	49.7	0.33
47.4	52	0.21
47.6	53.9	0.3
46.8	57.6	0.8
60.6	61.7	0.25
49.6	51	0.11
57.2	63.5	0.55
53.8	60.6	0.28
54.4	59.5	0.2
45.1	56.9	0.36
47.9	56.6	0.52
57.5	61.6	0.27
49	51.8	0.27
55	62.6	0.64
54.5	59.1	0.33
50.8	54.6	0.34
45.6	55.7	0.27
42.8	55.5	0.58
35.9	40.8	0.22
49.6	54.7	0.56
