lenRel	lenRec	liberty
36.4	42.5	0.31
50.9	55.2	0.4
57.5	61.4	0.24
51.9	57.6	0.52
42.9	43.8	0.31
41.2	40.1	0.17
50.9	59	0.31
47.5	59.1	0.73
53.7	62	0.31
52.4	56.6	0.53
49.6	61.3	0.59
53	58.1	0.37
51.2	54.2	0.31
43.5	49.2	0.28
60.6	67.7	0.53
41.9	46	0.22
49.7	58.6	0.42
49	51.9	0.32
56.1	63.2	0.12
56.6	55.4	0.18
46.6	58.2	0.58
52.2	55.1	0.33
55.4	63.2	0.55
57.9	70.2	0.95
52	61.8	0.77
43.5	52.8	0.52
46.5	53.6	0.44
57.8	63.3	0.33
35.6	54.6	0.81
62	68.9	0.5
47.8	52.2	0.2
46.4	53	0.34
50.4	52.3	0.14
53.5	59.4	0.33
50.8	54.6	0.1
39.5	52.8	0.71
49.9	57.3	0.27
53.4	59.3	0.3
53.2	58.6	0.34
44.5	53	0.5
33.3	48.5	0.52
47.9	55.7	0.49
44.2	48.1	0.28
47.3	47.8	0.19
47.1	49.1	0.3
49.9	52.3	0.42
46.7	54.5	0.24
52.6	57.8	0.36
54.6	59.4	0.21
44.2	55.6	0.37
45.9	53.9	0.39
53	57.4	0.34
56.7	60	0.34
50.7	67	0.89
38.8	48.4	0.54
50.6	62.1	0.64
47.6	54.4	0.23
56.8	64.7	0.4
52	62.5	0.66
45.5	53.5	0.36
46.2	50.8	0.13
45.4	52.9	0.44
48.7	53.8	0.14
49.5	54	0.25
57.1	68.4	0.71
50.5	59.9	0.5
46.4	59	0.63
42.9	48.6	0.43
52.8	55.9	0.35
49.1	51.7	0.23
51.3	61.2	0.82
54.8	59.4	0.38
59.5	62.4	0.26
46.1	53.8	0.57
59.4	64.8	0.63
45.8	61.7	0.95
53.1	52	0.27
51	55.5	0.3
50	54.7	0.3
56.3	62.3	0.3
45.5	51.3	0.31
51.3	57	0.32
48.8	60.4	0.76
44	48.8	0.26
56.7	59.1	0.3
38.1	45.5	0.51
46.3	56.8	0.65
40.2	46.5	0.25
53.3	54.3	0.29
50.9	56.4	0.48
42.2	51.4	0.61
52.5	57.1	0.32
44.7	50.3	0.18
54.5	63.5	0.86
51	60.5	0.75
53.6	61.6	0.26
43.5	47.9	0.36
51.7	53.1	0.15
47.8	56.3	0.49
43.1	54.7	0.82
53.2	55.1	0.16
58.5	62.7	0.25
46.2	51.1	0.27
47.8	51.2	0.26
52.4	55.8	0.13
48.7	56.7	0.47
59.5	59.6	0.17
51.2	58.9	0.36
57.6	67.2	0.49
50.7	56.5	0.33
45.6	54.8	0.57
52.3	53.2	0.36
44.4	50.8	0.27
45.7	52.1	0.51
48.5	54.1	0.3
54.3	67.6	0.89
51.8	57.2	0.36
55.7	61.6	0.56
56.4	55.6	0.41
51.1	48.5	0.08
37.5	40.9	0.19
54.4	55.7	0.3
63	64.6	0.41
53.5	52.6	0.11
44.7	52.1	0.6
47.8	51.1	0.27
43.5	47.1	0.25
50.1	52.9	0.17
52.4	52.8	0.18
54.6	57.8	0.38
50.3	57.9	0.47
46.5	45.8	0.13
57.4	56.8	0.22
57.9	63.9	0.48
61.4	63.8	0.29
47.5	63.1	1.09
55.8	64.3	0.69
55.5	61.9	0.5
51.6	55.5	0.37
55.1	55.3	0.42
51.3	55	0.26
44.3	55.6	0.5
50.3	59.5	0.77
55.3	64.5	0.63
49.9	55.6	0.24
45.6	51.8	0.16
38.5	42.5	0.35
41.6	49.5	0.46
50.3	60.5	0.72
34.9	40.5	0.19
59	69.5	0.44
42	50.5	0.41
43.9	56.4	0.67
57.2	60.5	0.36
37.7	44	0.31
52.7	55.8	0.21
48.6	53.4	0.28
54.4	54.8	0.31
55.3	67.9	1.19
47.2	60.6	1.25
45.9	51.9	0.34
32.5	37	0.22
45.7	47.4	0.14
50.7	57.6	0.48
51.2	55.2	0.21
62.3	68.8	1.15
49	53.6	0.24
53.8	55	0.39
50	77	2.47
45.8	53.7	0.21
51.2	60.7	0.43
50.4	57.8	0.21
47.6	59.3	0.44
44.4	49.2	0.24
51.3	56.2	0.38
52.8	55.2	0.32
56	57.7	0.2
47.3	52.3	0.37
45.1	57.5	0.6
52.1	60.2	0.82
54.1	59.4	0.19
49.9	54.7	0.32
48.5	60.5	0.66
45.5	48.9	0.21
49	48.6	0.1
42.7	46.9	0.23
47.6	50.1	0.23
55.6	59.4	0.38
54	57.9	0.3
46.1	56	0.41
51.7	54	0.3
49.7	57.8	0.44
40.3	46.1	0.31
55.6	61	0.67
41.3	42	0.25
43.5	48.3	0.43
54.1	55.8	0.24
49.8	51.3	0.41
47	55.6	0.36
39.7	43.7	0.16
43.4	51.3	0.34
50.3	62	0.66
50.5	59.5	0.52
45.5	54.1	0.4
43.6	47.7	0.2
43.9	55.6	0.66
60.8	63.3	0.38
50.4	54.5	0.29
53.6	64.5	0.84
54.8	59	0.25
50.8	58.3	0.43
51	62.8	0.7
41.5	51.2	0.5
45	48.6	0.32
53.6	54.7	0.3
42.6	53	0.44
52.3	60.1	0.48
48.7	53.1	0.37
47.7	59.7	0.71
48.7	51.8	0.36
45.9	50.8	0.26
54.8	57.2	0.48
55.6	53.7	0.12
47.1	55.2	0.45
52.9	58.8	0.47
